time,T_waterIn.T,T_gasIn.T,T_gasOut.T,T_waterOut.T,T_gasIn.inlet.m_flow,T_gasOut.inlet.m_flow,T_waterIn.inlet.m_flow,T_waterOut.inlet.m_flow
371,295.307,321.857,315.578,316.667,0.606862,0.606862,0.083115,0.0831235
375,295.307,321.862,315.582,316.67,0.606862,0.606862,0.083115,0.0831235
375,295.307,321.862,315.582,316.67,0.606862,0.606862,0.083115,0.0831235
376,295.307,321.864,315.583,316.671,0.606862,0.606862,0.083115,0.0831235
376,295.307,321.864,315.583,316.671,0.606862,0.606862,0.083115,0.0831235
380,295.307,321.869,315.586,316.674,0.606862,0.606862,0.083115,0.0831235
380,295.307,321.869,315.586,316.674,0.606862,0.606862,0.083115,0.0831235
381,295.307,321.87,315.587,316.675,0.606862,0.606862,0.083115,0.0831235
381,295.307,321.87,315.587,316.675,0.606862,0.606862,0.083115,0.0831235
385,295.307,321.875,315.591,316.678,0.606862,0.606862,0.083115,0.0831235
385,295.307,321.875,315.591,316.678,0.606862,0.606862,0.083115,0.0831235
386,295.307,321.877,315.592,316.679,0.606862,0.606862,0.083115,0.0831235
386,295.307,321.877,315.592,316.679,0.606862,0.606862,0.083115,0.0831235
390,295.307,321.882,315.595,316.682,0.606862,0.606862,0.083115,0.0831235
390,295.307,321.882,315.595,316.682,0.606862,0.606862,0.083115,0.0831235
391,295.307,321.883,315.596,316.682,0.606862,0.606862,0.083115,0.0831235
391,295.307,321.883,315.596,316.682,0.606862,0.606862,0.083115,0.0831235
395,295.307,321.888,315.6,316.685,0.606862,0.606862,0.083115,0.0831235
395,295.307,321.888,315.6,316.685,0.606862,0.606862,0.083115,0.0831235
396,295.307,321.89,315.601,316.686,0.606862,0.606862,0.083115,0.0831235
396,295.307,321.89,315.601,316.686,0.606862,0.606862,0.083115,0.0831235
400,295.307,321.895,315.604,316.689,0.606862,0.606862,0.083115,0.0831235
400,295.307,321.895,315.604,316.689,0.606862,0.606862,0.083115,0.0831235
401,295.307,321.896,315.605,316.69,0.606862,0.606862,0.083115,0.0831235
401,295.307,321.896,315.605,316.69,0.606862,0.606862,0.083115,0.0831235
405,295.307,321.902,315.609,316.693,0.606862,0.606862,0.083115,0.0831235
405,295.307,321.902,315.609,316.693,0.606862,0.606862,0.083115,0.0831235
406,295.307,321.903,315.61,316.694,0.606862,0.606862,0.083115,0.0831235
406,295.307,321.903,315.61,316.694,0.606862,0.606862,0.083115,0.0831235
410,295.307,321.908,315.613,316.697,0.606862,0.606862,0.083115,0.0831235
410,295.307,321.908,315.613,316.697,0.606862,0.606862,0.083115,0.0831235
411,295.307,321.909,315.614,316.698,0.606862,0.606862,0.083115,0.0831235
411,295.307,321.909,315.614,316.698,0.606862,0.606862,0.083115,0.0831235
415,295.307,321.915,315.618,316.701,0.606862,0.606862,0.083115,0.0831235
415,295.307,321.915,315.618,316.701,0.606862,0.606862,0.083115,0.0831235
416,295.307,321.916,315.618,316.702,0.606862,0.606862,0.083115,0.0831235
416,295.307,321.916,315.618,316.702,0.606862,0.606862,0.083115,0.0831235
420,295.307,321.921,315.622,316.705,0.606862,0.606862,0.083115,0.0831235
420,295.307,321.921,315.622,316.705,0.606862,0.606862,0.083115,0.0831235
