time,T_gasOut.T,T_waterOut.T,T_gasIn.T,T_waterIn.T,T_waterIn.inlet.m_flow,T_waterOut.inlet.m_flow,T_gasOut.inlet.m_flow,T_gasIn.inlet.m_flow
291,369.444,363.072,376.373,302.06,0.08543,0.0839117,-2.27E-13,0
291,369.444,363.072,376.373,302.06,0.08543,0.0839117,-2.27E-13,0
295,369.444,362.048,376.373,302.06,0.08543,0.0839216,-2.37E-13,0
295,369.444,362.048,376.373,302.06,0.08543,0.0839216,-2.37E-13,0
296,369.444,361.786,376.373,302.06,0.08543,0.0839242,-2.39E-13,0
296,369.444,361.786,376.373,302.06,0.08543,0.0839242,-2.39E-13,0
300,369.444,360.713,376.373,302.06,0.08543,0.0839354,-2.49E-13,0
300,369.444,360.713,376.373,302.06,0.08543,0.0839354,-2.49E-13,0
301,369.444,360.439,376.373,302.06,0.08543,0.0839383,-2.52E-13,0
301,369.444,360.439,376.373,302.06,0.08543,0.0839383,-2.52E-13,0
305,369.444,359.319,376.373,302.06,0.08543,0.0839507,-2.61E-13,0
305,369.444,359.319,376.373,302.06,0.08543,0.0839507,-2.61E-13,0
306,369.444,359.033,376.373,302.06,0.08543,0.0839538,-2.64E-13,0
306,369.444,359.033,376.373,302.06,0.08543,0.0839538,-2.64E-13,0
310,369.444,357.871,376.373,302.06,0.08543,0.0839672,-2.73E-13,0
310,369.444,357.871,376.373,302.06,0.08543,0.0839672,-2.73E-13,0
311,369.444,357.575,376.373,302.06,0.08543,0.0839703,-2.76E-13,0
311,369.444,357.575,376.373,302.06,0.08543,0.0839703,-2.76E-13,0
315,369.444,356.373,376.373,302.06,0.08543,0.0839849,-2.85E-13,0
315,369.444,356.373,376.373,302.06,0.08543,0.0839849,-2.85E-13,0
316,369.444,356.069,376.373,302.06,0.08543,0.0839887,-2.88E-13,0
316,369.444,356.069,376.373,302.06,0.08543,0.0839887,-2.88E-13,0
320,369.444,354.834,376.373,302.06,0.08543,0.0840049,-2.97E-13,0
320,369.444,354.834,376.373,302.06,0.08543,0.0840049,-2.97E-13,0
321,369.444,354.521,376.373,302.06,0.08543,0.0840091,-2.99E-13,0
321,369.444,354.521,376.373,302.06,0.08543,0.0840091,-2.99E-13,0
325,369.444,353.259,376.373,302.06,0.08543,0.0840268,-3.08E-13,0
325,369.444,353.259,376.373,302.06,0.08543,0.0840268,-3.08E-13,0
326,369.444,352.941,376.373,302.06,0.08543,0.0840314,-3.11E-13,0
326,369.444,352.941,376.373,302.06,0.08543,0.0840314,-3.11E-13,0
330,369.444,351.658,376.373,302.06,0.08543,0.0840507,-3.20E-13,0
330,369.444,351.658,376.373,302.06,0.08543,0.0840507,-3.20E-13,0
331,369.444,351.336,376.373,302.06,0.08543,0.0840554,-3.22E-13,0
331,369.444,351.336,376.373,302.06,0.08543,0.0840554,-3.22E-13,0
335,369.444,350.039,376.373,302.06,0.08543,0.0840762,-3.31E-13,0
335,369.444,350.039,376.373,302.06,0.08543,0.0840762,-3.31E-13,0
336,369.444,349.714,376.373,302.06,0.08543,0.0840816,-3.33E-13,0
336,369.444,349.714,376.373,302.06,0.08543,0.0840816,-3.33E-13,0
340,369.444,348.413,376.373,302.06,0.08543,0.0841043,-3.41E-13,0
340,369.444,348.413,376.373,302.06,0.08543,0.0841043,-3.41E-13,0
341,369.444,348.087,376.373,302.06,0.08543,0.0841103,-3.44E-13,0
341,369.444,348.087,376.373,302.06,0.08543,0.0841103,-3.44E-13,0
345,369.444,346.789,376.373,302.06,0.08543,0.0841343,-3.52E-13,0
345,369.444,346.789,376.373,302.06,0.08543,0.0841343,-3.52E-13,0
346,369.444,346.465,376.373,302.06,0.08543,0.0841408,-3.54E-13,0
346,369.444,346.465,376.373,302.06,0.08543,0.0841408,-3.54E-13,0
